Date,Adj Close,rolling mean,high,low
2022-10-21,239.80331420898438,,,
2022-10-24,244.8842315673828,,,
2022-10-25,248.2615966796875,,,
2022-10-26,229.10665893554688,,,
2022-10-27,224.58035278320312,237.32723083496094,242.07377545166017,232.58068621826172
2022-10-28,233.61309814453125,236.0891876220703,240.81097137451172,231.3674038696289
2022-10-31,229.9088897705078,233.0941192626953,237.7560016479492,228.4322368774414
2022-11-01,225.98678588867188,228.6391571044922,233.21194024658206,224.06637396240234
2022-11-02,217.99400329589844,226.4166259765625,230.94495849609376,221.88829345703124
2022-11-03,212.19998168945312,223.9405517578125,228.41936279296874,219.46174072265626
2022-11-04,219.27166748046875,221.072265625,225.4937109375,216.6508203125
2022-11-07,225.6896514892578,220.22841796875,224.63298632812499,215.823849609375
2022-11-08,226.6800994873047,220.36708068847656,224.7744223022461,215.95973907470702
2022-11-09,222.36180114746094,221.24064025878906,225.66545306396483,216.81582745361328
2022-11-10,240.6550750732422,226.93165893554686,231.4702921142578,222.39302575683593
2022-11-11,244.7455596923828,232.02643737792968,236.66696612548827,227.3859086303711
2022-11-14,239.23875427246094,234.73625793457032,239.43098309326172,230.04153277587892
2022-11-15,239.6547393798828,237.33118591308593,242.07780963134766,232.5845621948242
2022-11-16,240.0917510986328,240.8771759033203,245.6947194213867,236.0596323852539
2022-11-17,240.04208374023438,240.75457763671875,245.56966918945312,235.93948608398438
2022-11-18,239.58522033691406,239.722509765625,244.5169599609375,234.9280595703125
2022-11-21,240.4095916748047,239.95667724609376,244.75581079101565,235.15754370117187
2022-11-22,243.36940002441406,240.699609375,245.51360156249999,235.8856171875
2022-11-23,245.90211486816406,241.86168212890624,246.69891577148437,237.0244484863281
2022-11-25,245.81271362304688,243.01580810546875,247.87612426757812,238.15549194335938
2022-11-28,240.12155151367188,243.12307434082032,247.98553582763674,238.2606128540039
2022-11-29,238.7012481689453,242.78140563964843,247.6370337524414,237.92577752685546
2022-11-30,253.41087341308594,244.78970031738282,249.6854943237305,239.89390631103515
2022-12-01,252.9639129638672,246.20205993652343,251.1261011352539,241.27801873779296
2022-12-02,253.29168701171875,247.6978546142578,252.65181170654296,242.74389752197266
2022-12-05,248.50436401367188,249.37441711425782,254.36190545654298,244.38692877197266
2022-12-06,243.45877075195312,250.32592163085937,255.33244006347655,245.31940319824218
2022-12-07,242.71385192871094,248.18651733398437,253.15024768066405,243.2227869873047
2022-12-08,245.7233123779297,246.73839721679687,251.6731651611328,241.80362927246094
2022-12-09,243.75674438476562,244.83140869140624,249.72803686523437,239.9347805175781
2022-12-12,250.79869079589844,245.29027404785157,250.1960795288086,240.38446856689453
2022-12-13,255.17881774902344,247.63428344726563,252.58696911621095,242.6815977783203
2022-12-14,255.47679138183594,250.18687133789064,255.19060876464846,245.1831339111328
2022-12-15,247.32241821289062,250.5066925048828,255.51682635498048,245.49655865478513
2022-12-16,243.03170776367188,250.36168518066407,255.36891888427735,245.3544514770508
2022-12-19,238.82041931152344,247.96603088378907,252.92535150146486,243.0067102661133
2022-12-20,240.16128540039062,244.9625244140625,249.86177490234377,240.06327392578123
2022-12-21,242.77345275878906,242.42185668945314,247.2702938232422,237.57341955566406
2022-12-22,236.57574462890625,240.27252197265625,245.07797241210938,235.46707153320312
2022-12-23,237.11209106445312,239.0885986328125,243.87037060546876,234.30682666015625
2022-12-27,235.35409545898438,238.39533386230468,243.16324053955077,233.6274271850586
2022-12-28,232.9405517578125,236.95118713378906,241.69021087646485,232.21216339111328
2022-12-29,239.3766326904297,236.27182312011718,240.99725958251952,231.54638665771483
2022-12-30,238.1947021484375,236.59561462402343,241.3275269165039,231.86370233154295
2023-01-03,237.95632934570312,236.76446228027345,241.49975152587893,232.02917303466796
2023-01-04,227.54736328125,235.20311584472657,239.9071781616211,230.49905352783205
2023-01-05,220.80335998535156,232.7756774902344,237.43119104003907,228.1201639404297
2023-01-06,223.40560913085938,229.58147277832032,234.17310223388674,224.9898433227539
2023-01-09,225.5807647705078,227.05868530273438,231.59985900878905,222.5175115966797
2023-01-10,227.29904174804688,224.92722778320314,229.4257723388672,220.42868322753907
